Rank,Title,Year,Director,Canon Score,TMDB Rating
112,Fanny and Alexander,1982,Ingmar Bergman,86,7.786
113,The Wind Will Carry Us,1999,Abbas Kiarostami,85,7.128
114,Mouchette,1967,Robert Bresson,85,7.433
115,Pickpocket,1959,Robert Bresson,85,7.267
116,Caché,2005,Michael Haneke,85,7.034
117,L'Âge d'or,1930,Luis Buñuel,85,6.755
118,Raise the Red Lantern,1991,Zhang Yimou,85,7.926
119,Winter Sleep,2014,Nuri Bilge Ceylan,85,7.5
120,Werckmeister Harmonies,2000,Béla Tarr,85,7.853
121,The Double Life of Véronique,1991,Krzysztof Kieślowski,85,7.491
122,Viridiana,1961,Luis Buñuel,85,7.646
123,The Gospel According to St. Matthew,1964,Pier Paolo Pasolini,85,7.4
124,Pan's Labyrinth,2006,Guillermo del Toro,85,7.757
125,The Battle of Algiers,1966,Gillo Pontecorvo,85,7.883
126,The White Balloon,1995,Jafar Panahi,85,7.44
127,Taste of Cherry,1997,Abbas Kiarostami,85,7.678
128,Terrorizers,1986,Edward Yang,84,7.402
129,Red Desert,1964,Michelangelo Antonioni,84,7.341
130,Through a Glass Darkly,1961,Ingmar Bergman,84,7.776
131,Perfect Days,2023,Wim Wenders,84,7.78
132,Dogville,2003,Lars von Trier,84,7.757
133,The Tenant,1976,Roman Polanski,84,7.607
134,The Father,2020,Florian Zeller,84,8.099
135,F for Fake,1973,Orson Welles,83,7.4
136,The Favourite,2018,Yorgos Lanthimos,83,7.5
137,The White Ribbon,2009,Michael Haneke,83,7.482
138,The Elephant Man,1980,David Lynch,83,8.05
139,The Passion of Joan of Arc,1928,Carl Theodor Dreyer,83,8
140,Stalker,1979,Andrei Tarkovsky,83,8.112
141,Rebels of the Neon God,1994,Tsai Ming-liang,82,7.3
142,The Young and the Damned,1950,Luis Buñuel,82,8.028
143,Vive L'Amour,1994,Tsai Ming-liang,82,7.26
144,"Paris, Texas",1984,Wim Wenders,82,8.089
145,Portrait of a Lady on Fire,2019,Céline Sciamma,82,8.107
146,Solaris,1972,Andrei Tarkovsky,82,7.787
147,Un Chien Andalou,1929,Luis Buñuel,81,7.399
148,The Skin I Live In,2011,Pedro Almodóvar,81,7.491
149,Y Tu Mamá También,2001,Alfonso Cuarón,81,7.418
150,Fallen Angels,1995,Wong Kar-Wai,81,7.7
151,Man with a Movie Camera,1929,Dziga Vertov,81,7.837
